Geneid	bam/SRR1552444_Aligned.sortedByCoord.out.bam	bam/SRR1552445_Aligned.sortedByCoord.out.bam	bam/SRR1552446_Aligned.sortedByCoord.out.bam	bam/SRR1552447_Aligned.sortedByCoord.out.bam
ENSMUSG00000100969.9	216	182	30	31
ENSMUSG00000117761.2	0	0	0	0
ENSMUSG00000118966.1	0	0	1	2
ENSMUSG00000118182.2	0	1	0	0
ENSMUSG00000117928.2	156	164	158	161
ENSMUSG00000118393.2	0	0	0	0
ENSMUSG00000121679.1	1422	1538	1762	1657
ENSMUSG00000118052.3	0	0	0	0
ENSMUSG00000118203.2	311	300	240	225
ENSMUSG00000117886.2	475	593	460	470
ENSMUSG00000024831.15	190	241	111	115
ENSMUSG00000024829.13	672	599	465	400
ENSMUSG00000099261.3	0	0	0	0
ENSMUSG00000118213.2	1257	1251	1081	919
ENSMUSG00000124049.1	4	2	2	1
ENSMUSG00000024900.6	1732	2273	820	1432
ENSMUSG00000134008.1	0	0	0	0
ENSMUSG00000024905.16	3	11	3	2
ENSMUSG00000024907.8	16	24	4	1
ENSMUSG00000024908.16	3366	3856	3452	3091
ENSMUSG00000114315.2	0	1	0	0
ENSMUSG00000075908.3	0	0	0	0
ENSMUSG00000114302.2	2	2	5	0
ENSMUSG00000122710.1	3	6	5	2
ENSMUSG00000024913.17	4252	5046	1817	1366
ENSMUSG00000137075.1	6	6	2	3
ENSMUSG00000125522.1	5	3	3	6
ENSMUSG00000135862.1	10	7	5	4
ENSMUSG00000118249.3	6	0	2	1
ENSMUSG00000135905.1	4	2	4	3
ENSMUSG00000035372.3	476	517	230	235
ENSMUSG00000117739.3	39	37	18	19
ENSMUSG00000124674.1	2	1	0	0
ENSMUSG00000118231.2	24384	25352	17966	15713
ENSMUSG00000118096.2	5	4	5	5
ENSMUSG00000117773.2	5	4	1	3
ENSMUSG00000045098.20	1839	2101	1729	1738
ENSMUSG00000082848.3	16	18	17	17
ENSMUSG00000117779.2	890	926	918	797
ENSMUSG00000024843.16	12671	13953	42066	49120
ENSMUSG00000117912.2	4	2	8	8
ENSMUSG00000134049.1	464	354	943	997
ENSMUSG00000001750.17	2565	2919	2057	1437
ENSMUSG00000133194.1	2	1	0	1
ENSMUSG00000059734.8	1141	1099	1042	870
ENSMUSG00000140175.1	6	7	5	3
ENSMUSG00000024885.10	216	248	21	21
ENSMUSG00000140214.1	5	8	0	0
ENSMUSG00000140249.1	2	1	0	0
ENSMUSG00000118129.2	10	14	7	6
ENSMUSG00000036908.18	662	686	454	337
ENSMUSG00000141736.1	0	0	0	0
ENSMUSG00000037263.14	8	9	3	10
ENSMUSG00000075296.6	66	85	60	47
ENSMUSG00000132187.1	7	3	2	1
ENSMUSG00000024866.11	113	119	40	45
ENSMUSG00000037477.9	1	5	1	1
ENSMUSG00000086107.3	30	27	17	27
ENSMUSG00000110949.2	18	10	8	8
ENSMUSG00000024869.11	159	162	78	74
ENSMUSG00000024871.12	141	136	84	46
ENSMUSG00000037916.15	2151	2326	2236	2094
ENSMUSG00000060803.7	742	674	581	581
ENSMUSG00000038155.12	4	4	4	8
ENSMUSG00000058216.14	1	1	5	4
ENSMUSG00000135122.1	12326	12702	6594	6612
ENSMUSG00000140276.1	0	0	0	1
ENSMUSG00000104921.3	0	1	2	0
ENSMUSG00000064400.4	0	0	0	0
ENSMUSG00000024857.17	1	1	2	2
ENSMUSG00000127101.1	44	50	36	27
ENSMUSG00000024856.11	689	746	815	543
ENSMUSG00000024851.15	2024	2125	1958	1805
ENSMUSG00000024847.16	547	508	320	270
ENSMUSG00000024845.20	1012	1054	942	792
ENSMUSG00000024842.9	12	17	9	10
ENSMUSG00000044724.10	3	4	3	2
ENSMUSG00000024835.16	2040	2354	2560	2407
ENSMUSG00000045826.10	0	1	1	0
ENSMUSG00000024830.18	733	832	719	677
ENSMUSG00000075289.6	97	99	40	46
ENSMUSG00000117905.2	9	8	6	7
ENSMUSG00000097233.2	3	11	7	5
ENSMUSG00000040247.7	1	9	6	4
ENSMUSG00000040385.8	5496	5859	5592	4719
ENSMUSG00000117839.2	3	9	7	5
ENSMUSG00000024824.8	276	268	232	224
ENSMUSG00000118245.4	9	6	2	4
ENSMUSG00000126154.1	1	0	0	0
ENSMUSG00000133637.1	0	1	0	0
ENSMUSG00000135663.1	11	12	11	6
ENSMUSG00000040663.10	515	746	150	136
ENSMUSG00000117873.2	0	0	0	0
ENSMUSG00002075602.1	4	5	1	0
ENSMUSG00000117718.4	84	109	16	16
ENSMUSG00000024854.5	360	422	195	209
ENSMUSG00000130729.1	5	5	3	2
ENSMUSG00000034616.18	3297	3563	1897	1878
ENSMUSG00000099290.3	3	2	1	5
ENSMUSG00000005986.17	262	366	141	127
ENSMUSG00000118344.2	14	9	3	8
ENSMUSG00000024858.15	3261	3756	3290	2931
ENSMUSG00000120891.1	4	7	4	1
ENSMUSG00000132146.1	1	3	2	1
ENSMUSG00000054611.18	4042	4369	3705	3513
ENSMUSG00000127229.1	1	2	0	1
ENSMUSG00000127267.1	4	8	5	2
ENSMUSG00000130718.1	2	4	0	1
ENSMUSG00000041845.12	350	367	319	343
ENSMUSG00000087132.11	39	61	26	29
ENSMUSG00000125325.1	1	2	0	0
ENSMUSG00000049303.11	241	366	414	432
ENSMUSG00000137529.1	1	0	2	3
ENSMUSG00000135758.1	0	1	2	0
ENSMUSG00000042041.8	22	35	37	40
ENSMUSG00000024892.18	1591	1920	8014	9020
ENSMUSG00000045045.8	1263	1450	1581	1663
ENSMUSG00000024889.6	909	883	816	806
ENSMUSG00000098346.3	7	2	11	11
ENSMUSG00000071691.12	22	21	10	7
ENSMUSG00000117746.2	0	0	0	0
ENSMUSG00000067889.8	2023	2299	1783	1796
ENSMUSG00000126466.1	33	16	6	4
